993  7
994  6
995  5
996  4
997  3
998  2
999  1
1000  0
1001  1
1002  2
1003  3
1004  4
1005  5
1006  6
1007  7
25799  7
25800  6
25801  7
       993      1699         7
       994      1699         6
       995      1699         5
       996      1699         4
       997      1699         3
       998      1699         2
       999      1699         1
      1000      1699         0
      1001      1699         1
      1002      1699         2
      1003      1699         3
      1004      1699         4
      1005      1699         5
      1006      1699         6
      1007      1699         7
     25799     26499         7
     25800     26499         6
     25801     26499         7
